date,open,high,low,close,volume
2024-01-02,100.0,101.0,99.0,100.5,1000000
2024-01-03,100.5,101.5,99.5,100.2,1100000
2024-01-04,100.2,101.0,99.0,100.8,1050000
2024-01-05,100.8,102.0,99.8,101.0,1200000
2024-01-08,101.0,102.0,100.0,100.5,980000
2024-01-09,100.5,101.5,99.5,100.3,1050000
2024-01-10,100.3,101.3,99.3,100.7,1020000
2024-01-11,100.7,101.7,99.7,101.2,1150000
2024-01-12,101.2,102.2,100.2,100.8,1080000
2024-01-15,100.8,101.8,99.8,101.3,1100000
2024-01-16,101.3,102.3,100.3,102.0,1250000
2024-01-17,102.0,103.5,101.5,103.2,1400000
2024-01-18,103.2,104.5,102.5,104.0,1500000
2024-01-19,104.0,105.0,103.0,104.8,1350000
2024-01-22,104.8,106.0,104.0,105.5,1450000
2024-01-23,105.5,107.0,105.0,106.8,1600000
2024-01-24,106.8,108.0,106.0,107.5,1700000
2024-01-25,107.5,109.0,107.0,108.2,1550000
2024-01-26,108.2,109.5,107.5,109.0,1650000
2024-01-29,109.0,111.0,108.5,110.5,1800000
2024-01-30,110.5,112.0,110.0,111.8,1750000
2024-01-31,111.8,113.0,111.0,112.5,1680000
2024-02-01,112.5,114.0,112.0,113.0,1720000
2024-02-02,113.0,114.5,112.5,113.8,1600000
2024-02-05,113.8,115.0,113.0,114.5,1580000
2024-02-06,114.5,115.5,113.5,114.0,1500000
2024-02-07,114.0,115.0,113.0,113.5,1480000
2024-02-08,113.5,114.5,112.5,113.0,1550000
2024-02-09,113.0,114.0,112.0,112.5,1400000
2024-02-12,112.5,113.5,111.5,112.0,1450000
